ID,COUNTY_ID,COUNTY,TOTAL_POPULATION,PER_TOTAL_POPULATION,POPU_DENSITY,HH_MEDIAN_AGE,DI_RACE_WH,DI_RACE_AF,DI_RACE_AI_AN,DI_RACE_ASIAN,DI_RACE_NW,DI_RACE_SOM,DI_NOT_HISP,DI_PERC_NOT_HISP,WF_OCCUP_1,WF_OCCUP_2,WF_OCCUP_3,WF_OCCUP_4,WF_OCCUP_5,WF_IND_1,WF_IND_2,WF_IND_3,WF_IND_4,WF_IND_5,WF_IND_6,WF_IND_7,WF_IND_8,WF_IND_9,WF_IND_10,WF_IND_11,WF_IND_12,WF_IND_13,WF_CSW_1,WF_CSW_2,WF_CSW_3,WF_CSW_4,INC_MD_HOUSE,INC_PER_CAP,HH_UD_18,HH_OVR_65,HH_AVG_SIZE,WF_OVR_25,WF_PER_OVR_25,DI_BR_DF,DI_FB,DI_PER_FB,DI_FB_2010,DI_FB_EU,DI_FB_A,DI_FB_AF,DI_FB_OC,DI_FB_LA,DI_FB_NA,DI_NON_ENG,HH_OW_OC,HH_PER_OW_OC,INC_HM_VALUE
0500000US16001,16001,"Ada County, Idaho",409239,409239,372.8,35.5,374848,4336,2313,11069,832,5115,378827,85.9,81197,32972,50448,14559,15928,3024,11527,18372,5341,23613,8402,5231,12835,24619,44955,17322,7511,12352,77.2,16.2,6.5,0.1,55805,28318,49371,21.7,2.6,65318,24.4,197590,23878,5.8,2452,5381,8661,1416,193,6893,1334,31929,154408,94.9,103945
0500000US08001,8001,"Adams County, Colorado",461558,461558,378.2,32.8,376581,14816,4758,17191,663,31596,284324,52.5,64318,40817,55370,29419,31017,3959,23168,19717,8109,26095,16549,6524,11842,24996,36749,21978,11611,9644,83.5,11.3,5.1,0.1,57421,24667,56569,19,2.95,43034,14.9,150405,69607,15.1,4034,4706,11196,2370,251,50448,636,121595,155047,94.3,100071
0500000US42001,42001,"Adams County, Pennsylvania",101566,101566,195.5,42.4,93835,1526,148,710,0,3340,95132,90.1,14933,8655,11001,5801,10160,1655,3890,9202,1655,5172,2406,485,2204,3167,11334,4520,2250,2610,82.6,11.3,6,0.1,60068,27701,10395,30.2,2.57,8635,12.3,33014,4004,3.9,208,636,620,72,23,2619,34,6007,37956,92.4,29200
0500000US45003,45003,"Aiken County, South Carolina",162991,162991,149.5,40.6,114191,40583,373,1321,16,3659,154568,67.4,23637,11117,15564,7654,10549,1216,5441,10333,974,8268,3701,1367,2908,7424,14385,5728,3253,3523,76,18.4,5.1,0.5,45597,25093,16365,29.2,2.52,17340,15.5,88313,6019,3.7,647,1146,1209,115,12,3272,265,8677,63609,86.9,46756
0500000US12001,12001,"Alachua County, Florida",251759,251759,282.7,30.5,175713,50882,717,13951,194,2511,229688,63,52320,22339,27605,5693,6703,636,4128,4407,2170,12752,3387,1935,6059,11264,44449,13067,5212,5194,67.9,27.6,4.4,0.1,42045,25020,20728,21.2,2.45,31013,20.8,91772,25915,10.3,3812,4050,9985,1094,137,9812,837,32062,96137,84.8,51472
0500000US37001,37001,"Alamance County, North Carolina",153713,153713,356.5,39.1,108337,27645,512,2013,189,10320,135914,66.5,22019,12090,17232,7110,11256,823,4573,11245,1810,8978,1923,938,3740,6279,17189,6686,2780,2743,80,13.6,6,0.3,42592,23324,17340,27.3,2.45,14783,14.5,40078,11745,7.6,676,1001,1517,261,28,8821,117,17618,61046,90.5,40306
0500000US06001,6001,"Alameda County, California",1559308,1559308,2043.6,36.9,707017,184785,9315,424061,12923,126476,1206808,33.3,344818,122166,164940,48329,69533,2933,37828,79593,21204,74951,36705,22656,45812,125361,169199,67563,38731,27250,78.2,14.1,7.5,0.1,73775,36439,172765,23.7,2.77,262854,24.6,276624,483750,31,32899,30310,288538,12250,7186,140277,5189,634263,551734,94,291645
0500000US36001,36001,"Albany County, New York",306124,306124,581.9,37.9,237018,38932,423,16647,92,4047,289788,74.8,67139,26528,40570,8322,11443,561,7253,7656,2973,17065,6081,3317,10615,16350,42230,13627,6782,19492,70.1,25.5,4.3,0.1,59940,32624,28693,25.5,2.35,40985,20.1,38521,27074,8.8,3170,6024,13371,1957,111,4758,853,34011,122945,89.2,72312
0500000US51003,51003,"Albemarle County, Virginia",101883,101883,137.3,38.5,83125,9616,279,4415,20,1283,96185,77.5,25142,7492,8457,3249,2622,805,2831,1754,709,3985,1260,842,2962,5857,17122,4225,2484,2126,65.8,25.3,8.8,0.2,67958,37510,10494,28.1,2.45,17608,25.9,43185,10147,10,1074,2316,3862,732,41,2848,348,11041,38537,89.4,25135
0500000US51510,51510,"Alexandria city, Virginia",146422,146422,9314.3,35.8,93493,31614,373,9298,65,5482,122310,52.7,52472,14551,15878,3510,4285,254,3707,2038,774,6067,2691,2376,5834,21013,15515,8996,6231,15200,70,25.3,4.7,0,87319,54597,13528,15.7,2.2,34063,30.6,71375,38973,26.6,5405,2940,9711,11642,195,13977,508,42127,65916,89.7,28146
